,dataset,6,2,3,1,11
876,AbdomenCT1K,64.32,7.865,7.865,15.71,4.23
877,AbdomenCT1K,59.54,5.645,5.645,25.75,3.42
878,AbdomenCT1K,67.64,6.975,6.975,14.55,3.86
879,AbdomenCT1K,69.3,7.715,7.715,9.41,5.86
880,AbdomenCT1K,65.83,6.72,6.72,18.02,2.71
881,AbdomenCT1K,70.09,9.325,9.325,6.72,4.54
882,AbdomenCT1K,77.21,7.34,7.34,5.2,2.9
883,AbdomenCT1K,74.65,5.04,5.04,11.57,3.7
884,AbdomenCT1K,67.78,8.455,8.455,12.15,3.16
885,AbdomenCT1K,64.48,12.875,12.875,7.88,1.88
886,AbdomenCT1K,72.08,7.895,7.895,9.37,2.76
887,AbdomenCT1K,69.62,8.225,8.225,11.01,2.91
888,AbdomenCT1K,72.07,9.305,9.305,6.55,2.76
889,AbdomenCT1K,67.43,9.21,9.21,10.77,3.38
890,AbdomenCT1K,69.47,9.09,9.09,9.11,3.25
891,AbdomenCT1K,59,14.55,14.55,8.5,3.4
892,AbdomenCT1K,65.63,12.11,12.11,7.7,2.45
893,AbdomenCT1K,76.51,6.435,6.435,6.41,4.21
894,AbdomenCT1K,69.36,10.25,10.25,7.27,2.88
895,AbdomenCT1K,68.37,7.215,7.215,11.56,5.64
896,AbdomenCT1K,68.77,9.205,9.205,8.38,4.43
897,AbdomenCT1K,74.31,7.84,7.84,6.09,3.92
898,AbdomenCT1K,63,8.635,8.635,12.93,6.79
899,AbdomenCT1K,65.33,8.82,8.82,14.28,2.76
900,AbdomenCT1K,63.45,10.805,10.805,9.12,5.81
901,AbdomenCT1K,67.77,8.815,8.815,8.42,6.18
902,AbdomenCT1K,68.18,8.135,8.135,11.1,4.44
903,AbdomenCT1K,73.99,8.375,8.375,6.17,3.09
904,AbdomenCT1K,60.52,7.8,7.8,21.33,2.54
905,AbdomenCT1K,68.41,7.775,7.775,13.73,2.32
906,AbdomenCT1K,65.82,12.815,12.815,4.92,3.63
907,AbdomenCT1K,69.37,7.01,7.01,13.05,3.56
908,AbdomenCT1K,71.59,8.37,8.37,8.16,3.51
909,AbdomenCT1K,68.09,8.535,8.535,9.92,4.92
910,AbdomenCT1K,61.34,9.95,9.95,11.15,7.6
911,AbdomenCT1K,73.58,7.905,7.905,7.54,3.07
912,AbdomenCT1K,70.54,8.565,8.565,9.66,2.67
913,AbdomenCT1K,73.72,6.715,6.715,10.05,2.8
914,AbdomenCT1K,73.31,8.045,8.045,7.16,3.44
915,AbdomenCT1K,68.65,6.525,6.525,15.74,2.56
916,AbdomenCT1K,69.04,7.485,7.485,12.6,3.39
917,AbdomenCT1K,73.91,7.44,7.44,7.63,3.58
918,AbdomenCT1K,69.79,8.155,8.155,6.97,6.92
919,AbdomenCT1K,65.86,6.905,6.905,17.11,3.22
920,AbdomenCT1K,70.11,8.595,8.595,6.82,5.89
921,AbdomenCT1K,67.05,10.11,10.11,6.24,6.49
922,AbdomenCT1K,67.22,7.22,7.22,8.56,9.78
923,AbdomenCT1K,70.94,8.285,8.285,8.3,4.19
924,AbdomenCT1K,66.44,11.22,11.22,8.79,2.33
925,AbdomenCT1K,67.27,6.67,6.67,17.26,2.14
926,AbdomenCT1K,68.65,9.125,9.125,11.75,1.34
927,AbdomenCT1K,73.16,6.985,6.985,9.69,3.18
928,AbdomenCT1K,68.07,7.045,7.045,14.7,3.14
929,AbdomenCT1K,70.91,6.79,6.79,11.3,4.21
930,AbdomenCT1K,67.56,8.235,8.235,13.75,2.22
931,AbdomenCT1K,72.61,9.08,9.08,6.2,3.03
932,AbdomenCT1K,69.73,7.695,7.695,10.58,4.3
933,AbdomenCT1K,72.07,7.515,7.515,9.48,3.42
934,AbdomenCT1K,57.69,14.04,14.04,7.77,6.46
935,AbdomenCT1K,69.46,11.255,11.255,5.59,2.44
936,AbdomenCT1K,60.22,14.015,14.015,7.13,4.62
937,AbdomenCT1K,66.9,11.09,11.09,9.73,1.19
938,AbdomenCT1K,70.61,9.49,9.49,8.2,2.21
939,AbdomenCT1K,76.35,6.385,6.385,8.16,2.72
940,AbdomenCT1K,68.51,7.36,7.36,12.68,4.09
941,AbdomenCT1K,73.38,8.415,8.415,5.23,4.56
942,AbdomenCT1K,68.38,10.1,10.1,6.75,4.67
943,AbdomenCT1K,61.51,11.02,11.02,12.16,4.29
944,AbdomenCT1K,70.55,10,10,6.55,2.9
945,AbdomenCT1K,58.99,15.695,15.695,6.58,3.05
946,AbdomenCT1K,64.9,7.48,7.48,17.88,2.26
947,AbdomenCT1K,67.75,7.705,7.705,11.82,5.02
948,AbdomenCT1K,70.93,7.44,7.44,9.67,4.53
949,AbdomenCT1K,62.82,7.69,7.69,19.49,2.31
950,AbdomenCT1K,68.25,9.415,9.415,8.6,4.32
951,AbdomenCT1K,70.01,6.765,6.765,14.32,2.14
952,AbdomenCT1K,71.69,8.605,8.605,8.34,2.76
953,AbdomenCT1K,70,9.285,9.285,7.11,4.32
954,AbdomenCT1K,62.87,8.695,8.695,13.05,6.69
955,AbdomenCT1K,68.65,9.63,9.63,9.01,3.09
956,AbdomenCT1K,70.95,8.155,8.155,9.05,3.68
957,AbdomenCT1K,62.57,9.665,9.665,12.74,5.36
958,AbdomenCT1K,71.81,7.3,7.3,10.75,2.84
959,AbdomenCT1K,74.17,8.795,8.795,3.26,4.99
960,AbdomenCT1K,63.08,7.49,7.49,19.17,2.77
961,AbdomenCT1K,71.72,10.07,10.07,3.87,4.28
962,AbdomenCT1K,66.53,9.06,9.06,12.02,3.33
963,AbdomenCT1K,71.51,9.445,9.445,4.7,4.9
964,AbdomenCT1K,58,12.21,12.21,13.57,4.01
965,AbdomenCT1K,69.14,10.585,10.585,4.42,5.27
966,AbdomenCT1K,65.77,7.72,7.72,6.94,11.85
967,AbdomenCT1K,69.36,8.83,8.83,10.52,2.46
968,AbdomenCT1K,67.74,9.445,9.445,10.05,3.32
969,AbdomenCT1K,70.27,7.595,7.595,11.31,3.22
970,AbdomenCT1K,71.24,7.4,7.4,10.05,3.91
971,AbdomenCT1K,70.48,6.66,6.66,12.74,3.46
972,AbdomenCT1K,71.52,8.775,8.775,6.4,4.53
973,AbdomenCT1K,70.4,7.88,7.88,9.78,4.06
974,AbdomenCT1K,65.05,10.505,10.505,10.04,3.9
975,AbdomenCT1K,70.04,6.1,6.1,15.43,2.34
976,AbdomenCT1K,71.19,7.115,7.115,11.65,2.93
977,AbdomenCT1K,77.05,6.19,6.19,8.79,1.79
978,AbdomenCT1K,71.79,7.485,7.485,10.03,3.2
979,AbdomenCT1K,72.26,11.55,11.55,3.62,1.02
980,AbdomenCT1K,66.59,11.97,11.97,6.77,2.7
981,AbdomenCT1K,66.41,8.54,8.54,13.91,2.6
982,AbdomenCT1K,62.04,11.645,11.645,11.52,3.15
983,AbdomenCT1K,69.24,8.505,8.505,9.64,4.1
984,AbdomenCT1K,66.87,8.935,8.935,11.47,3.79
985,AbdomenCT1K,67.1,7.945,7.945,14.5,2.51
986,AbdomenCT1K,69.24,10.615,10.615,5.22,4.3
987,AbdomenCT1K,63.18,6.09,6.09,19.72,4.92
988,AbdomenCT1K,72.9,7.7,7.7,9.85,1.84
989,AbdomenCT1K,64.93,8.56,8.56,15.16,2.8
990,AbdomenCT1K,73.09,8.915,8.915,4.52,4.57
991,AbdomenCT1K,75.55,6.26,6.26,9.05,2.88
992,AbdomenCT1K,69.07,6.775,6.775,14.65,2.72
993,AbdomenCT1K,68.77,8.865,8.865,10.11,3.4
994,AbdomenCT1K,69.49,8.13,8.13,11.57,2.68
995,AbdomenCT1K,74.01,7.595,7.595,7.65,3.15
996,AbdomenCT1K,80.63,5.07,5.07,4.71,4.53
997,AbdomenCT1K,71.84,7.26,7.26,10.38,3.26
998,AbdomenCT1K,73.95,6.865,6.865,9.66,2.67
999,AbdomenCT1K,72.76,8.03,8.03,7.48,3.7
